wpath|transcript
/data/TORGO/dysarthric/F03_1_0090.wav|jagged
/data/TORGO/dysarthric/M03_2_0284.wav|hum
/data/TORGO/dysarthric/M03_2_0127.wav|urgent
/data/TORGO/dysarthric/M05_1_0096.wav|born
/data/TORGO/dysarthric/F03_3_0157.wav|dress
/data/TORGO/dysarthric/F03_1_0115.wav|yet he still thinks as swiftly as ever
/data/TORGO/dysarthric/F03_1_0178.wav|tile
/data/TORGO/dysarthric/F03_3_0064.wav|rid
/data/TORGO/dysarthric/F04_2_0094.wav|darn
/data/TORGO/dysarthric/F04_2_0216.wav|uniform
/data/TORGO/dysarthric/F03_1_0050.wav|feet
/data/TORGO/dysarthric/F04_2_0214.wav|the prospect of cutting back spending is an unpleasant one for any governor
/data/TORGO/dysarthric/M04_2_0268.wav|charlie
/data/TORGO/dysarthric/F03_3_0092.wav|zip
/data/TORGO/dysarthric/M02_1_0191.wav|tie
/data/TORGO/dysarthric/M01_1_0059.wav|air
/data/TORGO/dysarthric/F03_2_0129.wav|dark
/data/TORGO/dysarthric/M05_2_0130.wav|i looked up and noticed two old men
/data/TORGO/dysarthric/M02_2_0226.wav|golf
/data/TORGO/dysarthric/F03_1_0129.wav|bad
/data/TORGO/dysarthric/M01_2_3_0178.wav|tell
/data/TORGO/dysarthric/F04_1_0084.wav|know
/data/TORGO/dysarthric/F04_2_0066.wav|write
/data/TORGO/dysarthric/M03_2_0167.wav|white
/data/TORGO/dysarthric/F04_2_0139.wav|cart
/data/TORGO/dysarthric/M04_2_0261.wav|toot
/data/TORGO/dysarthric/F03_1_0174.wav|why yell or worry over silly items
/data/TORGO/dysarthric/F03_3_0179.wav|dice
/data/TORGO/dysarthric/M02_2_0211.wav|bitten
/data/TORGO/dysarthric/M05_2_0053.wav|area
/data/TORGO/dysarthric/M01_2_3_0148.wav|loop
/data/TORGO/dysarthric/M03_2_0100.wav|he dresses himself in an ancient black frock coat
/data/TORGO/dysarthric/M05_2_0092.wav|menu
/data/TORGO/dysarthric/M02_1_0137.wav|everything went real smooth the sheriff said
/data/TORGO/dysarthric/F03_3_0012.wav|write
/data/TORGO/dysarthric/M05_1_0085.wav|two
/data/TORGO/dysarthric/M02_1_0121.wav|you wished to know all about my grandfather
/data/TORGO/dysarthric/M04_2_0096.wav|glow
/data/TORGO/dysarthric/M02_1_0215.wav|i looked up and noticed two old men
/data/TORGO/dysarthric/F03_3_0166.wav|fed
/data/TORGO/dysarthric/F03_3_0192.wav|she wore warm fleecy woolen overalls
/data/TORGO/dysarthric/F04_2_0133.wav|pretty
/data/TORGO/dysarthric/M05_2_0056.wav|why yell or worry over silly items
/data/TORGO/dysarthric/M01_2_3_0225.wav|take
/data/TORGO/dysarthric/F03_1_0164.wav|sigh
/data/TORGO/dysarthric/F03_2_0013.wav|no
/data/TORGO/dysarthric/M04_2_0283.wav|it was a good win for us
/data/TORGO/dysarthric/M01_2_3_0151.wav|whoop
/data/TORGO/dysarthric/M03_2_0401.wav|slicker
/data/TORGO/dysarthric/M01_1_0065.wav|two
/data/TORGO/dysarthric/M05_2_0287.wav|white capped waves covered the entire bay
/data/TORGO/dysarthric/M04_2_0075.wav|swore
/data/TORGO/dysarthric/M02_1_0200.wav|snoop
/data/TORGO/dysarthric/M04_2_0149.wav|were
/data/TORGO/dysarthric/F04_1_0086.wav|beta
/data/TORGO/dysarthric/M02_1_0021.wav|bubble
/data/TORGO/dysarthric/M04_2_0272.wav|yes
/data/TORGO/dysarthric/M01_2_3_0038.wav|galore
/data/TORGO/dysarthric/M01_2_3_0276.wav|mush
/data/TORGO/dysarthric/M03_2_0415.wav|although always alone we survive
/data/TORGO/dysarthric/M01_2_3_0223.wav|five
/data/TORGO/dysarthric/F03_1_0133.wav|bad
/data/TORGO/dysarthric/M05_2_0311.wav|yes
/data/TORGO/dysarthric/F01_1_0100.wav|floor
/data/TORGO/dysarthric/M05_2_0323.wav|dress
/data/TORGO/dysarthric/M05_2_0248.wav|side
/data/TORGO/dysarthric/M04_1_0121.wav|fair
/data/TORGO/dysarthric/F04_1_0089.wav|double
/data/TORGO/dysarthric/M01_2_3_0024.wav|feet
/data/TORGO/dysarthric/F04_1_0192.wav|toot
/data/TORGO/dysarthric/M01_2_3_0198.wav|hem
/data/TORGO/dysarthric/M01_2_3_0064.wav|tile
/data/TORGO/dysarthric/F04_1_0163.wav|write
/data/TORGO/dysarthric/M05_1_0006.wav|train
/data/TORGO/dysarthric/M02_2_0096.wav|a roll of wire lay near the wall
/data/TORGO/dysarthric/M05_2_0167.wav|spit
/data/TORGO/dysarthric/M02_2_0106.wav|pretty
/data/TORGO/dysarthric/M02_1_0187.wav|wish
/data/TORGO/dysarthric/M02_1_0230.wav|rock
/data/TORGO/dysarthric/M03_2_0203.wav|snoop
/data/TORGO/dysarthric/M04_1_0101.wav|feet
/data/TORGO/dysarthric/M02_2_0162.wav|sergeant
/data/TORGO/dysarthric/M05_2_0208.wav|sitting
/data/TORGO/dysarthric/F04_1_0167.wav|area
/data/TORGO/dysarthric/M05_2_0038.wav|if you destroy confidence in banks you do something to the economy he said
/data/TORGO/dysarthric/F04_2_0206.wav|the books are very expensive
/data/TORGO/dysarthric/F04_2_0108.wav|carl lives in a lovely home
/data/TORGO/dysarthric/M02_1_0031.wav|go
/data/TORGO/dysarthric/M01_2_3_0147.wav|write
/data/TORGO/dysarthric/F01_1_0099.wav|stubble
/data/TORGO/dysarthric/M05_2_0084.wav|gnaw
/data/TORGO/dysarthric/F03_1_0134.wav|shear
/data/TORGO/dysarthric/M05_2_0122.wav|just one side got wet
/data/TORGO/dysarthric/M04_1_0037.wav|dagger
/data/TORGO/dysarthric/F03_3_0084.wav|there was only one decision to be made
/data/TORGO/dysarthric/M02_1_0125.wav|of
/data/TORGO/dysarthric/M03_2_0373.wav|carl lives in a lovely home
/data/TORGO/dysarthric/F04_1_0131.wav|youd be better off taking a cold shower
/data/TORGO/dysarthric/F03_3_0008.wav|dread
/data/TORGO/dysarthric/M05_2_0029.wav|pat
/data/TORGO/dysarthric/M02_1_0209.wav|pile
/data/TORGO/dysarthric/M05_1_0018.wav|chair
/data/TORGO/dysarthric/F03_3_0203.wav|sheet
/data/TORGO/dysarthric/M04_1_0018.wav|trade
/data/TORGO/dysarthric/M04_2_0085.wav|car
/data/TORGO/dysarthric/M01_2_3_0081.wav|tie
/data/TORGO/dysarthric/M04_1_0052.wav|he dresses himself in an ancient black frock coat
/data/TORGO/dysarthric/M04_2_0063.wav|for
/data/TORGO/dysarthric/M05_2_0014.wav|suit
