path|transcript
/data/TORGO/aged_matched_healthy/FC03_3_0037.wav|charm
/data/TORGO/aged_matched_healthy/FC03_1_0156.wav|gnaw
/data/TORGO/aged_matched_healthy/FC03_1_0066.wav|know
/data/TORGO/aged_matched_healthy/FC03_2_0363.wav|me
/data/TORGO/aged_matched_healthy/FC03_2_0086.wav|yankee
/data/TORGO/aged_matched_healthy/FC03_2_0241.wav|red
/data/TORGO/aged_matched_healthy/FC03_2_0154.wav|much
/data/TORGO/aged_matched_healthy/FC03_3_0095.wav|munch
/data/TORGO/aged_matched_healthy/FC03_1_0195.wav|write
/data/TORGO/aged_matched_healthy/FC03_2_0149.wav|ray
/data/TORGO/aged_matched_healthy/FC03_1_0293.wav|take
/data/TORGO/aged_matched_healthy/FC03_2_0036.wav|rock
/data/TORGO/aged_matched_healthy/FC03_3_0006.wav|lax
/data/TORGO/aged_matched_healthy/FC03_2_0170.wav|sheet
/data/TORGO/aged_matched_healthy/FC03_2_0130.wav|Critical equipment needs proper maintenance
/data/TORGO/aged_matched_healthy/FC03_1_0292.wav|hat
/data/TORGO/aged_matched_healthy/FC03_2_0304.wav|Yet he remains the fiercest of competitors
/data/TORGO/aged_matched_healthy/FC03_3_0054.wav|tall
/data/TORGO/aged_matched_healthy/FC03_2_0077.wav|sicker
/data/TORGO/aged_matched_healthy/FC03_3_0198.wav|wine
/data/TORGO/aged_matched_healthy/FC03_1_0191.wav|sigh
/data/TORGO/aged_matched_healthy/FC03_2_0329.wav|meat
/data/TORGO/aged_matched_healthy/FC03_2_0127.wav|bend
/data/TORGO/aged_matched_healthy/FC03_2_0037.wav|sink
/data/TORGO/aged_matched_healthy/FC03_1_0199.wav|wish
/data/TORGO/aged_matched_healthy/FC03_1_0321.wav|Swing your arm as high as you can
/data/TORGO/aged_matched_healthy/FC03_3_0031.wav|ail
/data/TORGO/aged_matched_healthy/FC03_2_0098.wav|We bought a brown chair
/data/TORGO/aged_matched_healthy/FC03_1_0261.wav|I feel I can play this weekend
/data/TORGO/aged_matched_healthy/FC03_1_0157.wav|They carried me off on the stretcher
/data/TORGO/aged_matched_healthy/FC03_2_0362.wav|Elderly people are often excluded
/data/TORGO/aged_matched_healthy/FC03_3_0151.wav|short
/data/TORGO/aged_matched_healthy/FC03_2_0125.wav|blend
/data/TORGO/aged_matched_healthy/FC03_3_0082.wav|wax
/data/TORGO/aged_matched_healthy/FC03_3_0098.wav|leaks
/data/TORGO/aged_matched_healthy/FC03_1_0342.wav|The museum hires musicians every evening
/data/TORGO/aged_matched_healthy/FC03_1_0104.wav|bug
/data/TORGO/aged_matched_healthy/FC03_1_0258.wav|single
/data/TORGO/aged_matched_healthy/FC03_1_0177.wav|slay
/data/TORGO/aged_matched_healthy/FC03_2_0009.wav|People who value themselves are lifes winners
/data/TORGO/aged_matched_healthy/FC03_1_0207.wav|four
/data/TORGO/aged_matched_healthy/FC03_2_0004.wav|bitter
/data/TORGO/aged_matched_healthy/FC03_1_0100.wav|go
/data/TORGO/aged_matched_healthy/FC03_2_0022.wav|Its fun to roast marshmallows on a gas burner
/data/TORGO/aged_matched_healthy/FC03_2_0067.wav|sierra
/data/TORGO/aged_matched_healthy/FC03_3_0142.wav|was
/data/TORGO/aged_matched_healthy/FC03_2_0157.wav|meats
/data/TORGO/aged_matched_healthy/FC03_2_0296.wav|So if anybody solicits by phone make sure you mail the dough to the above
/data/TORGO/aged_matched_healthy/FC03_1_0049.wav|Well he is nearly ninety three years old
/data/TORGO/aged_matched_healthy/FC03_2_0166.wav|see
/data/TORGO/aged_matched_healthy/FC03_3_0185.wav|seed
/data/TORGO/aged_matched_healthy/FC03_3_0050.wav|The lack of heat compounded the tenants grievances
/data/TORGO/aged_matched_healthy/FC03_1_0229.wav|mere
/data/TORGO/aged_matched_healthy/FC03_2_0194.wav|dead
/data/TORGO/aged_matched_healthy/FC03_2_0209.wav|goose
/data/TORGO/aged_matched_healthy/FC03_3_0059.wav|I had no desire to change my ways
/data/TORGO/aged_matched_healthy/FC03_1_0359.wav|foxtrot
/data/TORGO/aged_matched_healthy/FC03_1_0247.wav|Will Robin wear a yellow lily
/data/TORGO/aged_matched_healthy/FC03_1_0275.wav|leak
/data/TORGO/aged_matched_healthy/FC03_1_0053.wav|usually minus several buttons
/data/TORGO/aged_matched_healthy/FC03_2_0350.wav|ache
/data/TORGO/aged_matched_healthy/FC03_1_0332.wav|Alimony harms a divorced mans wealth
/data/TORGO/aged_matched_healthy/FC03_1_0228.wav|mere
/data/TORGO/aged_matched_healthy/FC03_2_0032.wav|nod
/data/TORGO/aged_matched_healthy/FC03_3_0058.wav|hall
/data/TORGO/aged_matched_healthy/FC03_3_0182.wav|It was a huge part of my life
/data/TORGO/aged_matched_healthy/FC03_2_0292.wav|The marriage went well from the start
/data/TORGO/aged_matched_healthy/FC03_3_0153.wav|that
/data/TORGO/aged_matched_healthy/FC03_3_0036.wav|pat
/data/TORGO/aged_matched_healthy/FC03_2_0174.wav|sketch
/data/TORGO/aged_matched_healthy/FC03_2_0050.wav|flicker
/data/TORGO/aged_matched_healthy/FC03_2_0074.wav|him
/data/TORGO/aged_matched_healthy/FC03_2_0336.wav|center
/data/TORGO/aged_matched_healthy/FC03_2_0247.wav|ride
/data/TORGO/aged_matched_healthy/FC03_1_0377.wav|echo
/data/TORGO/aged_matched_healthy/FC03_2_0010.wav|walk
/data/TORGO/aged_matched_healthy/FC03_2_0211.wav|Some prefer the traditional steel kind
/data/TORGO/aged_matched_healthy/FC03_2_0140.wav|I think Im full of this stuff
/data/TORGO/aged_matched_healthy/FC03_3_0003.wav|pet
/data/TORGO/aged_matched_healthy/FC03_2_0084.wav|wicked
/data/TORGO/aged_matched_healthy/FC03_1_0259.wav|witch
/data/TORGO/aged_matched_healthy/FC03_2_0023.wav|quicker
/data/TORGO/aged_matched_healthy/FC03_2_0047.wav|Ned
/data/TORGO/aged_matched_healthy/FC03_2_0386.wav|three
/data/TORGO/aged_matched_healthy/FC03_3_0128.wav|Look for pockets of black sand
/data/TORGO/aged_matched_healthy/FC03_1_0185.wav|Everything went real smooth the sheriff said
/data/TORGO/aged_matched_healthy/FC03_1_0150.wav|light
/data/TORGO/aged_matched_healthy/FC03_1_0152.wav|forward
/data/TORGO/aged_matched_healthy/FC03_2_0330.wav|xxx
/data/TORGO/aged_matched_healthy/FC03_1_0276.wav|dark
/data/TORGO/aged_matched_healthy/FC03_2_0313.wav|I also can be quite vocal
/data/TORGO/aged_matched_healthy/FC03_2_0073.wav|dice
/data/TORGO/aged_matched_healthy/FC03_1_0081.wav|goat
/data/TORGO/aged_matched_healthy/FC03_3_0010.wav|rakes
/data/TORGO/aged_matched_healthy/FC03_3_0121.wav|Hell sell them by the box
/data/TORGO/aged_matched_healthy/FC03_2_0034.wav|nice
/data/TORGO/aged_matched_healthy/FC03_1_0388.wav|thought
/data/TORGO/aged_matched_healthy/FC03_1_0317.wav|start
/data/TORGO/aged_matched_healthy/FC03_1_0340.wav|lick
/data/TORGO/aged_matched_healthy/FC03_2_0381.wav|lender
/data/TORGO/aged_matched_healthy/FC03_1_0386.wav|november
/data/TORGO/aged_matched_healthy/FC03_2_0276.wav|feet
/data/TORGO/aged_matched_healthy/FC03_1_0186.wav|mut
/data/TORGO/aged_matched_healthy/FC03_1_0169.wav|I looked up and noticed two old men
/data/TORGO/aged_matched_healthy/FC03_1_0139.wav|dot
/data/TORGO/aged_matched_healthy/FC03_2_0284.wav|ember
/data/TORGO/aged_matched_healthy/FC03_1_0345.wav|He further proposed grants of an unspecified sum for experimental hospitals
/data/TORGO/aged_matched_healthy/FC03_1_0369.wav|The books are very expensive
/data/TORGO/aged_matched_healthy/FC03_1_0039.wav|the
/data/TORGO/aged_matched_healthy/FC03_3_0065.wav|chop
/data/TORGO/aged_matched_healthy/FC03_1_0250.wav|pot
/data/TORGO/aged_matched_healthy/FC03_2_0187.wav|Dont do Charlies dirty dishes
/data/TORGO/aged_matched_healthy/FC03_2_0279.wav|tail
/data/TORGO/aged_matched_healthy/FC03_2_0374.wav|Her classical performance gained critical acclaim
/data/TORGO/aged_matched_healthy/FC03_2_0003.wav|litter
/data/TORGO/aged_matched_healthy/FC03_3_0017.wav|There was no confirmation of such massive assaults from independent sources
/data/TORGO/aged_matched_healthy/FC03_3_0066.wav|We experience distress and frustration obtaining our degrees
/data/TORGO/aged_matched_healthy/FC03_1_0174.wav|suit
/data/TORGO/aged_matched_healthy/FC03_2_0085.wav|fork
/data/TORGO/aged_matched_healthy/FC03_3_0189.wav|wise
/data/TORGO/aged_matched_healthy/FC03_2_0255.wav|coat
/data/TORGO/aged_matched_healthy/FC03_3_0013.wav|had
/data/TORGO/aged_matched_healthy/FC03_1_0219.wav|write
/data/TORGO/aged_matched_healthy/FC03_3_0018.wav|harm
/data/TORGO/aged_matched_healthy/FC03_2_0213.wav|lip
/data/TORGO/aged_matched_healthy/FC03_2_0049.wav|rock
/data/TORGO/aged_matched_healthy/FC03_2_0242.wav|shot
/data/TORGO/aged_matched_healthy/FC03_1_0160.wav|xxx
/data/TORGO/aged_matched_healthy/FC03_2_0042.wav|wicker
/data/TORGO/aged_matched_healthy/FC03_1_0220.wav|write
/data/TORGO/aged_matched_healthy/FC03_1_0315.wav|fat
/data/TORGO/aged_matched_healthy/FC03_2_0193.wav|sight
/data/TORGO/aged_matched_healthy/FC03_2_0065.wav|Only lawyers love millionaires
/data/TORGO/aged_matched_healthy/FC03_1_0348.wav|top
/data/TORGO/aged_matched_healthy/FC03_1_0043.wav|two
/data/TORGO/aged_matched_healthy/FC03_3_0188.wav|We got drenched from the uninterrupted rain
/data/TORGO/aged_matched_healthy/FC03_3_0139.wav|The family requests that flowers be omitted
/data/TORGO/aged_matched_healthy/FC03_2_0099.wav|You want him to do well
/data/TORGO/aged_matched_healthy/FC03_3_0118.wav|ticks
/data/TORGO/aged_matched_healthy/FC03_2_0383.wav|two
/data/TORGO/aged_matched_healthy/FC03_3_0015.wav|bunch
/data/TORGO/aged_matched_healthy/FC03_2_0210.wav|reap
/data/TORGO/aged_matched_healthy/FC03_1_0286.wav|Students watched as he got out
/data/TORGO/aged_matched_healthy/FC03_3_0099.wav|Try to work things out
/data/TORGO/aged_matched_healthy/FC03_1_0240.wav|much
/data/TORGO/aged_matched_healthy/FC03_1_0085.wav|jagged
/data/TORGO/aged_matched_healthy/FC03_1_0268.wav|part
/data/TORGO/aged_matched_healthy/FC03_2_0218.wav|boot
/data/TORGO/aged_matched_healthy/FC03_2_0282.wav|bumper
/data/TORGO/aged_matched_healthy/FC03_1_0122.wav|meat
/data/TORGO/aged_matched_healthy/FC03_1_0385.wav|I expect well bounce back this week
/data/TORGO/aged_matched_healthy/FC03_2_0231.wav|hold
/data/TORGO/aged_matched_healthy/FC03_1_0163.wav|hear
/data/TORGO/aged_matched_healthy/FC03_1_0092.wav|trade
/data/TORGO/aged_matched_healthy/FC03_3_0014.wav|We all sat down and relaxed
/data/TORGO/aged_matched_healthy/FC03_3_0174.wav|waste
/data/TORGO/aged_matched_healthy/FC03_1_0335.wav|league
/data/TORGO/aged_matched_healthy/FC03_3_0090.wav|ate
/data/TORGO/aged_matched_healthy/FC03_3_0062.wav|seat
/data/TORGO/aged_matched_healthy/FC03_1_0384.wav|darn
/data/TORGO/aged_matched_healthy/FC03_2_0270.wav|geese
/data/TORGO/aged_matched_healthy/FC03_1_0054.wav|When he speaks his voice is just a bit cracked and quivers a trifle
/data/TORGO/aged_matched_healthy/FC03_1_0095.wav|swore
/data/TORGO/aged_matched_healthy/FC03_1_0069.wav|She had your dark suit in greasy wash water all year
/data/TORGO/aged_matched_healthy/FC03_1_0215.wav|error
/data/TORGO/aged_matched_healthy/FC03_3_0190.wav|wart
/data/TORGO/aged_matched_healthy/FC03_3_0192.wav|She will order the wine
/data/TORGO/aged_matched_healthy/FC03_2_0305.wav|temper
/data/TORGO/aged_matched_healthy/FC03_3_0132.wav|cash
/data/TORGO/aged_matched_healthy/FC03_1_0309.wav|zero
/data/TORGO/aged_matched_healthy/FC03_3_0111.wav|blend
/data/TORGO/aged_matched_healthy/FC03_1_0212.wav|My sister made the flowered curtains
/data/TORGO/aged_matched_healthy/FC03_3_0103.wav|The job also covers a number of other items
/data/TORGO/aged_matched_healthy/FC03_1_0008.wav|train
/data/TORGO/aged_matched_healthy/FC03_1_0067.wav|glow
/data/TORGO/aged_matched_healthy/FC03_3_0067.wav|end
/data/TORGO/aged_matched_healthy/FC03_1_0319.wav|Aluminum silverware can often be flimsy
/data/TORGO/aged_matched_healthy/FC03_2_0238.wav|I scream to warm up my voice
/data/TORGO/aged_matched_healthy/FC03_3_0167.wav|Were all disappointed with our start
/data/TORGO/aged_matched_healthy/FC03_1_0211.wav|yes
/data/TORGO/aged_matched_healthy/FC03_3_0064.wav|punch
/data/TORGO/aged_matched_healthy/FC03_2_0252.wav|He asked you for a loan
/data/TORGO/aged_matched_healthy/FC03_1_0084.wav|read
/data/TORGO/aged_matched_healthy/FC03_2_0308.wav|sheer
/data/TORGO/aged_matched_healthy/FC03_3_0023.wav|sticks
/data/TORGO/aged_matched_healthy/FC03_3_0195.wav|docks
/data/TORGO/aged_matched_healthy/FC03_1_0048.wav|stubble
/data/TORGO/aged_matched_healthy/FC03_2_0012.wav|hand
/data/TORGO/aged_matched_healthy/FC03_2_0387.wav|hail
/data/TORGO/aged_matched_healthy/FC03_2_0197.wav|Suddenly my reflexes are gone
/data/TORGO/aged_matched_healthy/FC03_1_0083.wav|chair
/data/TORGO/aged_matched_healthy/FC03_3_0089.wav|Chocolate and roses never fail as a romantic gift
/data/TORGO/aged_matched_healthy/FC03_1_0128.wav|floor
/data/TORGO/aged_matched_healthy/FC03_1_0398.wav|side
/data/TORGO/aged_matched_healthy/FC03_3_0202.wav|You have to expect a few bad calls
/data/TORGO/aged_matched_healthy/FC03_2_0129.wav|In fact our whole defensive unit did a good job
/data/TORGO/aged_matched_healthy/FC03_1_0303.wav|xxx
/data/TORGO/aged_matched_healthy/FC03_1_0243.wav|Their house is grey and white
/data/TORGO/aged_matched_healthy/FC03_2_0277.wav|That pickpocket was caught red handed
/data/TORGO/aged_matched_healthy/FC03_2_0055.wav|Some hotels are available nearby
/data/TORGO/aged_matched_healthy/FC03_1_0188.wav|knew
/data/TORGO/aged_matched_healthy/FC03_3_0052.wav|is
/data/TORGO/aged_matched_healthy/FC03_2_0121.wav|shred
/data/TORGO/aged_matched_healthy/FC03_3_0093.wav|The singers finger had a splinter
/data/TORGO/aged_matched_healthy/FC03_2_0325.wav|seat
/data/TORGO/aged_matched_healthy/FC03_3_0029.wav|ate
/data/TORGO/aged_matched_healthy/FC03_1_0256.wav|loop
/data/TORGO/aged_matched_healthy/FC03_3_0022.wav|I didnt know where they were coming from
/data/TORGO/aged_matched_healthy/FC03_1_0323.wav|It eventually became a rather proud claim
/data/TORGO/aged_matched_healthy/FC03_2_0315.wav|reap
/data/TORGO/aged_matched_healthy/FC03_2_0216.wav|sew
/data/TORGO/aged_matched_healthy/FC03_1_0224.wav|shoot
/data/TORGO/aged_matched_healthy/FC03_1_0223.wav|group
/data/TORGO/aged_matched_healthy/FC03_1_0322.wav|A roll of wire lay near the wall
